Year,Quarter,Month,Product,Region,Sales_Amount
2022,Q1,Month-1,Laptop,USA,16795
2022,Q1,Month-1,Laptop,UK,1860
2022,Q1,Month-1,Laptop,Germany,39158
2022,Q1,Month-1,Laptop,France,45732
2022,Q1,Month-1,Laptop,Japan,12284
2022,Q1,Month-1,Smartphone,USA,7265
2022,Q1,Month-1,Smartphone,UK,17850
2022,Q1,Month-1,Smartphone,Germany,38194
2022,Q1,Month-1,Smartphone,France,22962
2022,Q1,Month-1,Smartphone,Japan,48191
2022,Q1,Month-1,Tablet,USA,45131
2022,Q1,Month-1,Tablet,UK,17023
2022,Q1,Month-1,Tablet,Germany,42090
2022,Q1,Month-1,Tablet,France,2685
2022,Q1,Month-1,Tablet,Japan,1769
2022,Q1,Month-1,Headphones,USA,3433
2022,Q1,Month-1,Headphones,UK,6311
2022,Q1,Month-1,Headphones,Germany,38819
2022,Q1,Month-1,Headphones,France,40188
2022,Q1,Month-1,Headphones,Japan,18568
2022,Q1,Month-1,Smartwatch,USA,20769
2022,Q1,Month-1,Smartwatch,UK,29693
2022,Q1,Month-1,Smartwatch,Germany,7396
2022,Q1,Month-1,Smartwatch,France,28480
2022,Q1,Month-1,Smartwatch,Japan,42434
2022,Q1,Month-2,Laptop,USA,26658
2022,Q1,Month-2,Laptop,UK,19942
2022,Q1,Month-2,Laptop,Germany,19431
2022,Q1,Month-2,Laptop,France,3747
2022,Q1,Month-2,Laptop,Japan,1189
2022,Q1,Month-2,Smartphone,USA,20118
2022,Q1,Month-2,Smartphone,UK,36773
2022,Q1,Month-2,Smartphone,Germany,2899
2022,Q1,Month-2,Smartphone,France,2267
2022,Q1,Month-2,Smartphone,Japan,32551
2022,Q1,Month-2,Tablet,USA,12394
2022,Q1,Month-2,Tablet,UK,4556
2022,Q1,Month-2,Tablet,Germany,4890
2022,Q1,Month-2,Tablet,France,42606
2022,Q1,Month-2,Tablet,Japan,31740
2022,Q1,Month-2,Headphones,USA,15502
2022,Q1,Month-2,Headphones,UK,22777
2022,Q1,Month-2,Headphones,Germany,11627
2022,Q1,Month-2,Headphones,France,9792
2022,Q1,Month-2,Headphones,Japan,44323
2022,Q1,Month-2,Smartwatch,USA,44021
2022,Q1,Month-2,Smartwatch,UK,9433
2022,Q1,Month-2,Smartwatch,Germany,44001
2022,Q1,Month-2,Smartwatch,France,12016
2022,Q1,Month-2,Smartwatch,Japan,24897
2022,Q1,Month-3,Laptop,USA,3612
2022,Q1,Month-3,Laptop,UK,24483
2022,Q1,Month-3,Laptop,Germany,49555
2022,Q1,Month-3,Laptop,France,18159
2022,Q1,Month-3,Laptop,Japan,45974
2022,Q1,Month-3,Smartphone,USA,41994
2022,Q1,Month-3,Smartphone,UK,15541
2022,Q1,Month-3,Smartphone,Germany,36920
2022,Q1,Month-3,Smartphone,France,27531
2022,Q1,Month-3,Smartphone,Japan,2585
2022,Q1,Month-3,Tablet,USA,4943
2022,Q1,Month-3,Tablet,UK,24939
2022,Q1,Month-3,Tablet,Germany,20457
2022,Q1,Month-3,Tablet,France,2021
2022,Q1,Month-3,Tablet,Japan,12653
2022,Q1,Month-3,Headphones,USA,44573
