,order_id,shop_guid,app_source,order_time,distance_km,prep_time_sec,traffic_sec,rain_flag,queue_size,prep_ahead_sec,eta_actual_min
440,ORD10440,SHOP_A,ShopeeFood,2025-04-27 10:00:00,2.05,1059,1110,0,0,0,41.1
962,ORD10962,SHOP_A,ShopeeFood,2025-04-27 10:01:00,7.57,851,209,0,1,1059,35.6
991,ORD10991,SHOP_A,ShopeeFood,2025-04-27 10:01:00,1.16,862,1726,0,2,1910,74.0
109,ORD10109,SHOP_A,LINE_MAN,2025-04-27 10:02:00,2.88,572,883,1,3,2772,66.2
907,ORD10907,SHOP_A,GrabFood,2025-04-27 10:02:00,7.13,1176,346,0,4,3344,79.3
582,ORD10582,SHOP_A,Robinhood,2025-04-27 10:03:00,6.13,400,951,0,5,4520,104.3
712,ORD10712,SHOP_A,ShopeeFood,2025-04-27 10:03:00,7.24,1114,1010,0,6,4920,117.3
738,ORD10738,SHOP_A,Robinhood,2025-04-27 10:03:00,4.47,260,1284,0,7,6034,126.1
806,ORD10806,SHOP_A,GrabFood,2025-04-27 10:03:00,5.44,1109,828,1,8,6294,128.7
935,ORD10935,SHOP_A,GrabFood,2025-04-27 10:06:00,5.62,701,536,0,9,7403,147.2
460,ORD10460,SHOP_A,Robinhood,2025-04-27 10:07:00,4.69,1105,1761,0,10,8104,185.2
95,ORD10095,SHOP_A,ShopeeFood,2025-04-27 10:08:00,3.17,774,587,0,11,9209,177.9
635,ORD10635,SHOP_A,Robinhood,2025-04-27 10:08:00,0.6,490,710,0,12,9983,187.7
831,ORD10831,SHOP_A,LINE_MAN,2025-04-27 10:09:00,5.15,846,677,1,13,10473,204.8
258,ORD10258,SHOP_A,LINE_MAN,2025-04-27 10:10:00,1.67,1198,659,0,14,11319,217.0
503,ORD10503,SHOP_A,GrabFood,2025-04-27 10:13:00,3.85,1156,1186,0,15,12517,248.4
9,ORD10009,SHOP_A,ShopeeFood,2025-04-27 10:14:00,7.86,866,1439,0,16,13673,266.8
312,ORD10312,SHOP_A,ShopeeFood,2025-04-27 10:15:00,3.92,654,332,1,17,14539,263.5
702,ORD10702,SHOP_A,ShopeeFood,2025-04-27 10:17:00,0.84,382,494,0,18,15193,269.0
720,ORD10720,SHOP_A,Robinhood,2025-04-27 10:17:00,6.38,1100,533,0,19,15575,288.3
905,ORD10905,SHOP_A,LINE_MAN,2025-04-27 10:18:00,5.33,917,834,0,20,16675,302.4
975,ORD10975,SHOP_A,Robinhood,2025-04-27 10:18:00,4.95,974,1664,0,21,17592,337.1
219,ORD10219,SHOP_A,GrabFood,2025-04-27 10:21:00,3.66,1025,950,1,22,18566,339.0
292,ORD10292,SHOP_A,GrabFood,2025-04-27 10:21:00,4.84,917,1647,0,23,19591,371.7
630,ORD10630,SHOP_A,Robinhood,2025-04-27 10:22:00,4.46,852,1016,0,24,20508,368.4
960,ORD10960,SHOP_A,Robinhood,2025-04-27 10:22:00,4.01,418,1023,0,25,21360,376.0
371,ORD10371,SHOP_A,GrabFood,2025-04-27 10:24:00,4.9,710,875,0,26,21778,388.3
567,ORD10567,SHOP_A,ShopeeFood,2025-04-27 10:25:00,4.95,949,1105,0,27,22488,408.3
117,ORD10117,SHOP_A,Robinhood,2025-04-27 10:26:00,2.7,396,1641,0,28,23437,425.6
419,ORD10419,SHOP_A,ShopeeFood,2025-04-27 10:27:00,3.52,586,875,0,29,23833,421.8
196,ORD10196,SHOP_A,GrabFood,2025-04-27 10:29:00,6.25,818,803,1,30,24419,437.7
560,ORD10560,SHOP_A,LINE_MAN,2025-04-27 10:29:00,4.91,1079,1692,0,31,25237,467.7
213,ORD10213,SHOP_A,Robinhood,2025-04-27 10:30:00,7.9,436,1690,0,32,26316,472.5
623,ORD10623,SHOP_A,GrabFood,2025-04-27 10:30:00,6.27,802,1485,1,33,26752,483.8
584,ORD10584,SHOP_A,LINE_MAN,2025-04-27 10:32:00,1.48,910,790,0,34,27554,487.1
